source_file,area_city,area_subdistrict,available_room,booking_type_bulanan,building_year,dist_to_nearest_clinic_km,dist_to_nearest_hospital_km,dist_to_nearest_mall_km,dist_to_nearest_supermarket_km,dist_to_nearest_terminal_km,dist_to_nearest_university_km,dp_percentage,fac_bath_0,fac_bath_1,fac_bath_2,fac_bath_6,fac_bath_7,fac_bath_Air panas,fac_bath_Bak mandi,fac_bath_Bathtub,fac_bath_Ember mandi,fac_bath_K. Mandi Dalam,fac_bath_K. Mandi Luar,fac_bath_Kloset Duduk,fac_bath_Kloset Jongkok,fac_bath_Shower,fac_bath_Wastafel,fac_room_AC,fac_room_Bantal,fac_room_Cermin,fac_room_Cleaning service,fac_room_Dapur Pribadi,fac_room_Dispenser,fac_room_Guling,fac_room_Jendela,fac_room_Kamar kosongan,fac_room_Kasur,fac_room_Keset Toilet (untuk sewa harian),fac_room_Kipas Angin,fac_room_Kos Higienis Mingguan,fac_room_Kulkas,fac_room_Kursi,fac_room_Lemari / Storage,fac_room_Lemari Pakaian,fac_room_Meja,fac_room_Meja Rias,fac_room_Meja makan,fac_room_Sofa,fac_room_TV,fac_room_TV Kabel,fac_room_Tidak ada Kasur,fac_room_Ventilasi,fac_room_Wastafel,fac_room_Water Heater,fac_room_microwave,fac_share_0,fac_share_1,fac_share_10,fac_share_11,fac_share_12,fac_share_13,fac_share_14,fac_share_15,fac_share_2,fac_share_20,fac_share_3,fac_share_4,fac_share_5,fac_share_6,fac_share_7,fac_share_8,fac_share_9,fac_share_Air Jernih,fac_share_Balcon,fac_share_Bebas Banjir,fac_share_CCTV,fac_share_Dapur,fac_share_Dapur Bersama,fac_share_Dispenser,fac_share_Dispenser Bersama,fac_share_Duplikat Gerbang Kos,fac_share_Gazebo,fac_share_Jemuran,fac_share_Joglo,fac_share_Jual Makanan,fac_share_K. Mandi Luar,fac_share_Kamar Mandi Luar - WC Duduk,fac_share_Kamar Mandi Luar - WC Jongkok,fac_share_Kartu Akses Masuk,fac_share_Kompor,fac_share_Kulkas,fac_share_Kulkas Bersama,fac_share_Kunci Gerbang,fac_share_Laundry,fac_share_Locker,fac_share_Meja Umum,fac_share_Mesin Cuci,fac_share_Mushola,fac_share_Pengurus Kos,fac_share_Penjaga Kos,fac_share_R. Cuci,fac_share_R. Jemur,fac_share_R. Keluarga,fac_share_R. Makan,fac_share_R. Santai,fac_share_R. Tamu,fac_share_R.Cuci,fac_share_R.Jemur,fac_share_R.Keluarga,fac_share_R.Santai,fac_share_R.Tamu,fac_share_Rice Cooker,fac_share_Rooftop,fac_share_TV,fac_share_TV Bersama,fac_share_Taman,fac_share_WiFi,fac_share_air jernih,gender,harga_card,harga_real_detail,jarak_bandara_ngurah_rai_km,jarak_unud_jimbaran_km,jarak_unud_sudirman_km,latitude,longitude,love_count,nama_kost,nearest_clinic_name,nearest_hospital_name,nearest_mall_name,nearest_supermarket_name,nearest_terminal_name,nearest_university_name,price_daily,price_monthly,price_tag,price_weekly,price_yearly,rating,review_count,size,top_facilities_AC,top_facilities_K. Mandi Dalam,top_facilities_K. Mandi Luar,top_facilities_Kasur,top_facilities_Kloset Duduk,top_facilities_Kloset Jongkok,top_facilities_WiFi,url_detail,view_count,price,sw,sl,size_area,pps,sub,gen,fb,fr,fs,ft,first_month,tier,zone
jimbaran,Badung,Kuta Selatan,4,1,2015.0,1.824,2.843,0.692,0.804,5.622,1.018,30.0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Campur,Rp2.750.000/bulan,4.45,1.41,13.52,-8.78555,115.172288,87,Kost Pondok Saraswati,Udayana Veterinary Clinic,Kasih Ibu General Hospital (Uluwatu),Jimbaran Corner,Pepito Express Udayana 2,bus_station,FACULTY OF AGRICULTURE,200.0,,eksklusif,,0.0,0.0,0,3x4,1,1,0,1,1,0,1,https://mamikos.com/room/kost-kabupaten-badung-kost-campur-eksklusif-kost-pondok-saraswati-kuta-selatan-badung?redirection_source=list%20kos%20result,5463,2750000.0,3.0,4.0,12.0,229166.66666666666,Kuta Selatan,Campur,6,13,9,28,3575000.0,"Rp2,4jt-2,8jt",1-2km
jimbaran,Badung,Kuta Selatan,1,1,2022.0,2.191,4.997,2.279,2.833,7.565,0.704,50.0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,Campur,Rp2.600.000/bulan,6.46,1.05,15.71,-8.803821596835952,115.16480717808008,418,Kost MD Living Jimbaran Tipe Standart,SOS Clinic,Kasih Ibu General Hospital (Uluwatu),Jimbaran Corner,Pepito Express Udayana 2,bus_station,FACULTY OF ECONOMIC AND BUSINESS,0.0,,eksklusif,0.0,0.0,5.0,3,3x5.5,1,1,0,1,1,0,1,https://mamikos.com/room/kost-kabupaten-badung-kost-campur-eksklusif-kost-md-living-jimbaran-tipe-standart-kuta-selatan-badung-1?redirection_source=list%20kos%20result,12609,2600000.0,3.0,5.5,16.5,157575.75757575757,Kuta Selatan,Campur,3,13,20,36,3900000.0,"Rp2,4jt-2,8jt",1-2km
jimbaran,Badung,Kuta Selatan,1,1,2025.0,1.233,4.702,2.437,2.229,6.325,0.69,,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,Campur,Rp3.000.000/bulan,6.39,0.7,15.11,-8.8024863507985,115.17725363374,153,Kost Mari Living,Udayana Veterinary Clinic,Kasih Ibu General Hospital (Uluwatu),Jimbaran Corner,Pepito Express Udayana 2,Lobby C,Faculty of Mathermatics and Natural Sciences,200.0,,eksklusif,,0.0,0.0,0,3x5,1,1,0,1,1,0,1,https://mamikos.com/room/kost-kabupaten-badung-kost-campur-murah--91?redirection_source=list%20kos%20result,4065,3000000.0,3.0,5.0,15.0,200000.0,Kuta Selatan,Campur,4,13,15,32,3000000.0,"Rp2,8jt-3,5jt",<1km
jimbaran,Badung,Kuta Selatan,3,1,2024.0,1.224,4.696,2.435,2.223,6.319,0.692,50.0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,Campur,Rp2.700.000/bulan,6.39,0.7,15.1,-8.802430687831745,115.17731131828836,96,Kost Hexa Home Standart,Udayana Veterinary Clinic,Kasih Ibu General Hospital (Uluwatu),Jimbaran Corner,Pepito Express Udayana 2,Lobby C,Faculty of Mathermatics and Natural Sciences,0.0,,eksklusif,0.0,,5.0,1,3x5,1,1,0,1,1,0,1,https://mamikos.com/room/kost-badung-kost-campur-eksklusif-kost-hexa-home-standart-kuta-selatan-badung?redirection_source=list%20kos%20result,3676,2700000.0,3.0,5.0,15.0,180000.0,Kuta Selatan,Campur,4,12,12,28,4050000.0,"Rp2,4jt-2,8jt",<1km
jimbaran,Badung,Kuta Selatan,3,1,2018.0,2.586,4.385,1.612,2.461,6.838,0.78,,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,Campur,Rp3.500.000/bulan,5.76,1.13,15.16,-8.7973030324393,115.16227483749,289,Kost Uluwatu Stay Tipe Suite South Kuta,Udayana Veterinary Clinic,Kasih Ibu General Hospital (Uluwatu),Jimbaran Corner,Pepito Express Udayana 2,bus_station,FACULTY OF ECONOMIC AND BUSINESS,200.0,,eksklusif,0.0,0.0,0.0,0,3x9,1,1,0,1,1,0,1,https://mamikos.com/room/kost-kabupaten-badung-kost-campur-murah--87?redirection_source=list%20kos%20result,7832,3500000.0,3.0,9.0,27.0,129629.62962962964,Kuta Selatan,Campur,5,17,15,37,3500000.0,"Rp2,8jt-3,5jt",1-2km
jimbaran,Badung,Kuta Selatan,2,1,2018.0,2.589,4.358,1.585,2.445,6.808,0.793,,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,Campur,Rp3.000.000/bulan,5.73,1.14,15.13,-8.7970346535855,115.16222655773,614,Kost Uluwatu Stay Deluxe Room,Udayana Veterinary Clinic,Kasih Ibu General Hospital (Uluwatu),Jimbaran Corner,Pepito Express Udayana 2,bus_station,FACULTY OF ECONOMIC AND BUSINESS,150.0,,eksklusif,0.0,0.0,5.0,1,4x4,1,1,0,1,1,0,1,https://mamikos.com/room/kost-kabupaten-badung-kost-campur-eksklusif-kost-uluwatu-stay-deluxe-room-kuta-selatan-badung?redirection_source=list%20kos%20result,15244,3000000.0,4.0,4.0,16.0,187500.0,Kuta Selatan,Campur,5,16,15,36,3000000.0,"Rp2,8jt-3,5jt",1-2km
jimbaran,Badung,Kuta Selatan,7,1,2019.0,1.224,4.696,2.435,2.223,6.319,0.692,50.0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Campur,Rp2.450.000/bulan,6.39,0.7,15.1,-8.8024312,115.1772646,722,Kost The W Guesthouse Tipe Deluxe 1,Udayana Veterinary Clinic,Kasih Ibu General Hospital (Uluwatu),Jimbaran Corner,Pepito Express Udayana 2,Lobby C,Faculty of Mathermatics and Natural Sciences,0.0,,eksklusif,0.0,0.0,2.9,4,3x4,1,1,0,1,1,0,1,https://mamikos.com/room/kost-kabupaten-badung-kost-campur-eksklusif-kost-the-w-guesthouse-tipe-deluxe-1-kuta-selatan-badung-2?redirection_source=list%20kos%20result,28723,2450000.0,3.0,4.0,12.0,204166.66666666666,Kuta Selatan,Campur,3,13,6,22,3675000.0,"Rp2,4jt-2,8jt",<1km
jimbaran,Badung,Kuta Selatan,6,1,2015.0,2.345,5.188,2.436,3.09,7.685,0.987,50.0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,Campur,Rp3.000.000/bulan,6.6,1.34,15.93,-8.804916,115.162306,64,Kost Geweka Tipe Standard,SOS Clinic,Kasih Ibu General Hospital (Uluwatu),Jimbaran Corner,Pepito Express Udayana 2,bus_station,FACULTY OF ECONOMIC AND BUSINESS,0.0,,eksklusif,,,0.0,0,4x5,1,1,0,1,1,0,1,https://mamikos.com/room/kost-kabupaten-badung-kost-campur-eksklusif-kost-geweka-tipe-standard-kuta-selatan-badung?redirection_source=list%20kos%20result,2750,3000000.0,4.0,5.0,20.0,150000.0,Kuta Selatan,Campur,5,14,15,34,4500000.0,"Rp2,8jt-3,5jt",1-2km
jimbaran,Badung,Kuta Selatan,5,1,2024.0,0.964,3.16,2.249,0.956,5.545,1.118,,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Campur,Rp2.500.000/bulan,4.98,2.02,13.12,-8.7865730280607,115.18659710884,125,Kost Airport Guest House,Udayana Veterinary Clinic,Kasih Ibu General Hospital (Uluwatu),Jimbaran Corner,Pepito Express Udayana 2,Lobby C,FACULTY OF AGRICULTURE,0.0,,eksklusif,0.0,0.0,0.0,0,4x7,1,1,1,1,1,0,1,https://mamikos.com/room/kost-kabupaten-badung-kost-campur-eksklusif-kost-airport-guest-house-kuta-selatan-badung-2?redirection_source=list%20kos%20result,5896,2500000.0,4.0,7.0,28.0,89285.71428571429,Kuta Selatan,Campur,5,11,10,26,2500000.0,"Rp2,4jt-2,8jt",2-3km
jimbaran,Badung,Kuta Selatan,1,1,2024.0,1.227,4.699,2.437,2.226,6.319,0.693,50.0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,Campur,Rp2.850.000/bulan,6.39,0.71,15.1,-8.802458519316158,115.17730449549911,46,Kost Hexa Home Standart Balcony,Udayana Veterinary Clinic,Kasih Ibu General Hospital (Uluwatu),Jimbaran Corner,Pepito Express Udayana 2,Lobby C,Faculty of Mathermatics and Natural Sciences,0.0,,eksklusif,0.0,0.0,0.0,0,3x5,1,1,0,1,1,0,1,https://mamikos.com/room/kost-badung-kost-campur-eksklusif-kost-hexa-home-standart-balcony-kuta-selatan-badung?redirection_source=list%20kos%20result,1348,2850000.0,3.0,5.0,15.0,190000.0,Kuta Selatan,Campur,4,12,12,28,4275000.0,"Rp2,8jt-3,5jt",<1km
